zip_code,black_percentage,median_income
11233,0.7698989161494983,30360
11226,0.679814781333494,31191
11236,0.8598032604815359,35664
11433,0.6443369979200994,26004
14204,0.7042693509198195,18144
14611,0.6457964862634124,17392
11203,0.8897811658014063,31176
14211,0.699044232051567,18963
12784,0.6136363636363636,-666666666
11212,0.7983069902784208,18902
11413,0.9145978391356544,38073
11429,0.7306039192831646,31419
11434,0.8590600895745211,32372
11436,0.6287368915323212,30494
11207,0.6525366972980688,24221
11213,0.6520967549510857,26141
11225,0.6091032202465748,34450
14208,0.797427652733119,18029
11411,0.9284714513248707,39984
14619,0.7175634071250551,23127
11412,0.8787542594500357,32870
11430,0.6747572815533981,8839
11798,0.6196178686759957,30533
14215,0.7595269699529383,22381
11422,0.8407557766856933,36109
10550,0.7490982927676401,30414
10466,0.7149748797292075,28557
10030,0.6216677398583387,25872
10037,0.7121982210927573,31754
10553,0.8884367245657568,36833
10039,0.6250807783442235,25142
10475,0.6433509271801578,31060
13024,0.6647162083089526,-666666666
