zip_code,black_percentage,median_income
48235,0.9582992465016148,20266
48342,0.6525342301225078,19227
48034,0.6962299581106457,34786
48504,0.6697134756006566,20386
48221,0.894757122558582,25273
48234,0.9413530766315912,17616
48874,0.6489361702127661,18750
48202,0.6640743550834598,18569
48215,0.8784431137724551,17791
48217,0.8006888289907158,18900
48227,0.9640413029284454,18332
48076,0.6393554335190604,36698
48601,0.6248670709625499,18067
48033,0.7063913588351137,31993
48204,0.92259790195177,15874
48207,0.7750492575327983,22270
48219,0.911152166610682,21096
48075,0.7341207831602169,31851
48505,0.8001672652137551,15943
48213,0.969703810727831,14596
48223,0.8815349957274916,23896
48225,0.6100464985205016,25000
48341,0.6021087680355159,21213
48141,0.7371533442088092,20538
48206,0.8997198879551821,16484
48238,0.9612588864925312,17169
48205,0.9461361762280598,22800
48214,0.7961942682531599,21371
48224,0.8847610546884423,20093
48203,0.9020075445518796,16365
48208,0.7673387990250388,14900
48228,0.7545590274074864,17310
